SCOUNT:5
TTW:1.8
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,true,1.00,6223,545,6219,192,119032,522
Krys-2,true,1.00,7843,492,7841,238,154956,321
Krys-3,true,1.00,14149,636,14147,443,321863,807
Krys-4,true,1.00,13300,556,13299,422,295330,492
Krys-5,true,1.00,13,449,8,1,198,31
Krys-6,true,1.00,5986,444,5983,184,116662,422
Krys-7,true,1.00,14,442,10,1,209,41
Krys-8,true,1.00,3173,564,3167,96,76803,665
Krys-9,true,1.00,12,424,8,1,161,50
Krys-10,true,1.00,4419,545,4415,134,102495,691
Krys-11,true,1.00,27,511,23,1,384,219
Krys-12,true,1.00,11548,607,11545,350,233590,635
Krys-13,true,1.00,14,447,9,1,209,41
Krys-14,true,1.00,153,451,143,5,2702,36
Krys-15,true,1.00,10691,528,10689,326,257964,572
Krys-16,true,1.00,9142,577,9139,278,180615,632
Krys-17,true,1.00,17,574,12,1,266,44
Krys-18,true,1.00,4025,566,4021,125,95148,604
Krys-19,true,1.00,795,492,791,24,16074,453
Krys-20,true,1.00,12799,628,12796,389,295207,749
Krys-21,true,1.00,22,473,17,1,406,110
Krys-22,true,1.00,33,518,28,1,658,242
Krys-23,true,1.00,27,587,21,1,443,163
Krys-24,true,1.00,8120,527,8117,255,172636,525
Krys-25,true,1.00,2247,557,2242,71,50688,650
Krys-26,true,1.00,16,407,12,1,269,132
Krys-27,true,1.00,8087,504,8084,245,165948,624
Krys-28,true,1.00,3536,658,3531,107,86483,330
Krys-29,true,1.00,65,604,58,2,1325,331
Krys-30,true,1.00,9638,623,9635,292,188136,637
Krys-31,true,1.00,170,588,164,5,3345,301
Krys-32,true,1.00,21,493,16,1,324,172
Krys-33,true,1.00,18,557,13,1,233,75
Krys-34,true,1.00,24,540,19,1,458,139
Krys-35,true,1.00,2375,518,2371,72,45410,613
Krys-36,false,0.91,31221,999,31221,999,632949,428
Krys-37,true,1.00,91,580,86,3,2081,240
Krys-38,true,1.00,31,632,25,1,643,211
Krys-39,true,1.00,676,440,672,21,15296,126
Krys-40,true,1.00,10397,561,10394,315,261542,580
Krys-41,true,1.00,9730,553,9728,299,218663,742
Krys-42,true,1.00,20,507,15,1,313,75
Krys-43,true,1.00,15,465,11,1,209,81
Krys-44,true,1.00,33,628,27,1,657,163
Krys-45,true,1.00,12501,548,12499,381,238075,605
Krys-46,true,1.00,28,602,22,1,480,184
Krys-47,true,1.00,22,570,17,1,356,126
Krys-48,true,1.00,13,443,8,1,191,41
Krys-49,true,1.00,34,612,28,1,601,190
Krys-50,false,0.70,31529,999,31527,999,714931,450
Krys-51,true,1.00,36,562,30,1,741,351
Krys-52,true,1.00,10118,614,10115,307,220121,428
Krys-53,true,1.00,23,642,17,1,374,158
Krys-54,true,1.00,10958,578,10955,332,274482,641
Krys-55,true,1.00,63,560,57,2,1327,189
Krys-56,false,0.59,31570,999,31570,999,625482,650
Krys-57,true,1.00,16,390,11,1,263,90
Krys-58,true,1.00,99,660,94,3,2141,217
Krys-59,true,1.00,4550,481,4546,140,90215,663
Krys-60,true,1.00,2799,499,2795,85,64989,442
Krys-61,true,1.00,2245,554,2241,68,46176,289
Krys-62,true,1.00,24,524,19,1,326,123
Krys-63,true,1.00,36,684,29,1,640,171
Krys-64,true,1.00,36,609,29,1,701,318
Krys-65,true,1.00,28,578,22,1,476,212
Krys-66,true,1.00,11170,652,11167,339,229199,428
Krys-67,true,1.00,65,643,59,2,1355,172
Krys-68,true,1.00,19,418,15,1,329,112
Krys-69,true,1.00,12192,758,12188,370,234376,609
Krys-70,false,0.80,31433,999,31431,999,694960,601
Krys-71,true,1.00,24,558,19,1,466,158
Krys-72,true,1.00,2842,543,2837,86,59862,201
Krys-73,true,1.00,15210,685,15208,466,329858,647
Krys-74,true,1.00,15,463,10,1,186,39
Krys-75,true,1.00,15,497,10,1,178,28
Krys-76,true,1.00,36,455,32,1,668,458
Krys-77,true,1.00,17,467,13,1,267,94
Krys-78,false,0.91,31107,999,31106,999,722749,624
Krys-79,true,1.00,17,479,12,1,228,81
Krys-80,true,1.00,22,580,16,1,305,115
Krys-81,true,1.00,26,572,20,1,454,75
Krys-82,true,1.00,434,501,428,13,8195,432
Krys-83,true,1.00,16299,656,16298,506,350310,904
Krys-84,true,1.00,11,393,8,1,146,48
Krys-85,true,1.00,26,632,20,1,416,177
Krys-86,true,1.00,23,543,18,1,374,176
Krys-87,true,1.00,9333,436,9331,283,175651,548
Krys-88,true,1.00,22,483,18,1,402,239
Krys-89,true,1.00,30,490,25,1,443,226
Krys-90,true,1.00,16,467,12,1,282,47
Krys-91,true,1.00,14,499,9,1,190,27
Krys-92,true,1.00,13725,580,13723,429,285723,623
Krys-93,true,1.00,164,513,159,5,3684,378
Krys-94,true,1.00,21,489,17,1,403,183
Krys-95,true,1.00,17,454,13,1,243,70
Krys-96,true,1.00,19,498,14,1,354,83
Krys-97,true,1.00,14,447,9,1,168,30
Krys-98,true,1.00,18711,709,18710,585,343190,550
Krys-99,true,1.00,6887,519,6884,218,136190,355
Krys-100,true,1.00,14,467,10,1,213,29
