SCOUNT:1
TTW:1.8
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Mario-1,true,1.00,2245,330,2242,68,216687,2046
Mario-2,true,1.00,5530,288,5528,167,479237,1816
Mario-3,false,0.54,3670,124,3670,124,417252,964
Mario-4,true,1.00,11715,391,11708,353,1068908,3317
Mario-5,true,1.00,9349,367,9348,283,598085,1705
Mario-6,false,0.41,2743,97,2742,97,314029,711
Mario-7,true,1.00,11153,387,11151,338,1102910,1221
Mario-8,true,1.00,4210,351,4207,128,387652,2483
Mario-9,true,1.00,69,346,65,2,5617,632
Mario-10,false,0.53,3638,123,3638,123,414452,944
Mario-11,true,1.00,6829,346,6826,206,658678,1832
Mario-12,true,1.00,11088,438,11087,331,1015608,2097
Mario-13,false,0.88,7311,234,7311,234,922993,647
Mario-14,true,1.00,6125,336,6122,178,574377,1332
Mario-15,true,1.00,10206,686,10201,309,897964,2527
