SCOUNT:7
TTW:0.6
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
patternCount-1,false,0.92,11872,493,11869,493,222830,594
patternCount-2,true,1.00,24,621,19,1,328,178
patternCount-3,true,1.00,19764,738,19763,711,384359,498
patternCount-4,true,1.00,26,638,20,1,367,97
patternCount-5,true,1.00,24,584,18,2,334,45
patternCount-6,true,1.00,15,508,11,1,147,20
patternCount-7,true,1.00,17,564,11,1,185,23
patternCount-8,true,1.00,10635,534,10633,350,199711,596
patternCount-9,true,1.00,15,529,10,1,171,31
patternCount-10,true,1.00,18,633,12,1,182,43
patternCount-11,true,1.00,18680,719,18678,667,333131,467
patternCount-12,true,1.00,23,590,18,1,313,99
patternCount-13,true,1.00,10,395,8,1,102,22
patternCount-14,true,1.00,1588,611,1583,51,28087,438
patternCount-15,true,1.00,18,519,13,1,206,73
patternCount-16,true,1.00,28,616,22,1,369,71
patternCount-17,true,1.00,21,574,16,1,256,84
patternCount-18,true,1.00,13,468,9,1,121,26
patternCount-19,true,1.00,19,495,14,1,250,136
patternCount-20,true,1.00,29,553,24,1,416,204
patternCount-21,true,1.00,21,601,16,1,269,34
patternCount-22,true,1.00,14300,695,14298,474,250307,221
patternCount-23,true,1.00,14856,720,14853,677,308611,584
patternCount-24,true,1.00,16656,759,16654,565,356494,618
patternCount-25,true,1.00,16,491,11,1,190,83
patternCount-26,true,1.00,20,546,15,1,249,61
patternCount-27,true,1.00,19,574,14,1,242,74
patternCount-28,true,1.00,22,629,16,1,257,40
patternCount-29,true,1.00,13,446,9,1,131,26
patternCount-30,true,1.00,18,576,13,1,178,27
patternCount-31,true,1.00,27,519,22,1,402,162
patternCount-32,true,1.00,2049,513,2045,68,40888,240
patternCount-33,true,1.00,34,702,29,1,517,84
patternCount-34,true,1.00,6865,569,6864,269,136034,625
patternCount-35,true,1.00,18,567,13,2,225,35
patternCount-36,true,1.00,1199,630,1194,44,23529,411
patternCount-37,true,1.00,20,421,16,1,289,168
patternCount-38,true,1.00,17,493,13,1,230,124
patternCount-39,true,1.00,17,543,12,1,193,63
patternCount-40,true,1.00,17912,769,17910,736,343584,651
patternCount-41,true,1.00,19,609,14,1,225,55
patternCount-42,true,1.00,32,618,27,1,483,130
patternCount-43,true,1.00,25,607,19,1,336,106
patternCount-44,true,1.00,17,547,12,1,188,46
patternCount-45,true,1.00,21,645,15,1,259,52
patternCount-46,true,1.00,19,517,15,3,279,79
patternCount-47,true,1.00,20,626,15,1,224,67
patternCount-48,true,1.00,19,608,15,1,210,26
patternCount-49,true,1.00,1358,655,1352,47,26777,446
patternCount-50,true,1.00,17824,814,17821,685,348015,346
patternCount-51,true,1.00,49,549,44,2,843,189
patternCount-52,true,1.00,14,518,9,1,137,19
patternCount-53,true,1.00,13880,573,13879,535,263414,480
patternCount-54,true,1.00,18,635,12,1,197,29
patternCount-55,true,1.00,9191,505,9186,466,190500,578
patternCount-56,true,1.00,331,604,325,10,6357,329
patternCount-57,true,1.00,37,594,32,1,586,196
patternCount-58,true,1.00,6372,516,6368,193,105895,429
patternCount-59,true,1.00,17,531,12,1,182,57
patternCount-60,true,1.00,63,500,59,2,1141,193
patternCount-61,true,1.00,79,481,75,3,1543,209
patternCount-62,true,1.00,15,555,10,2,189,27
patternCount-63,true,1.00,14,466,10,1,160,23
patternCount-64,true,1.00,15,483,11,1,149,21
patternCount-65,true,1.00,19,576,14,1,220,74
patternCount-66,true,1.00,14,540,9,1,130,13
patternCount-67,true,1.00,27,611,21,1,372,69
patternCount-68,true,1.00,16,510,11,1,149,28
patternCount-69,true,1.00,16,602,11,1,163,27
patternCount-70,true,1.00,13,501,8,1,124,16
patternCount-71,true,1.00,21,587,16,1,277,70
patternCount-72,true,1.00,19219,700,19218,674,365038,623
patternCount-73,true,1.00,6180,698,6175,201,121044,355
patternCount-74,true,1.00,14095,664,14094,618,274384,574
patternCount-75,true,1.00,4856,588,4852,160,96117,371
patternCount-76,true,1.00,20,580,14,1,219,80
patternCount-77,true,1.00,21,599,15,1,242,65
patternCount-78,true,1.00,21,605,15,1,225,29
patternCount-79,true,1.00,13822,604,13821,473,283492,520
patternCount-80,true,1.00,15725,643,15724,603,315903,514
patternCount-81,true,1.00,13,508,8,1,126,9
patternCount-82,true,1.00,20,599,14,1,213,34
patternCount-83,true,1.00,91,544,86,9,1744,305
patternCount-84,true,1.00,20,652,14,1,243,37
patternCount-85,true,1.00,28,617,23,2,438,157
patternCount-86,true,1.00,14,545,10,1,140,17
patternCount-87,true,1.00,27,672,21,1,357,68
patternCount-88,true,1.00,35,751,28,1,518,85
patternCount-89,true,1.00,16,578,11,1,163,24
patternCount-90,true,1.00,16,616,10,1,151,13
patternCount-91,true,1.00,24,613,19,1,316,53
patternCount-92,true,1.00,11,437,6,1,89,12
patternCount-93,true,1.00,16576,638,16574,603,313391,584
patternCount-94,true,1.00,17,438,13,2,227,44
patternCount-95,true,1.00,12,458,8,1,101,10
patternCount-96,true,1.00,54,539,49,2,977,195
patternCount-97,false,0.87,15342,535,15339,535,246832,555
patternCount-98,true,1.00,65,614,58,24,1173,89
patternCount-99,true,1.00,24,622,18,1,294,34
patternCount-100,true,1.00,22,586,16,1,278,71
