SCOUNT:6
TTW:1.4
CW:0.95
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,true,1.00,6863,679,6859,208,108821,387
Krys-2,false,0.79,31159,999,31159,999,476885,527
Krys-3,false,0.70,30519,999,30518,999,494425,480
Krys-4,true,1.00,10156,610,10153,322,161048,425
Krys-5,true,1.00,14822,573,14821,456,244057,498
Krys-6,true,1.00,15183,574,15182,463,244196,391
Krys-7,true,1.00,12903,622,12901,391,209288,513
Krys-8,true,1.00,18780,664,18779,577,293021,521
Krys-9,true,1.00,12411,562,12409,379,154519,479
Krys-10,true,1.00,9704,561,9701,295,158935,486
Krys-11,true,1.00,16799,589,16798,510,257341,486
Krys-12,false,0.70,31227,999,31227,999,495451,467
Krys-13,true,1.00,7729,394,7728,235,114817,502
Krys-14,false,0.79,31336,999,31335,999,470679,416
Krys-15,true,1.00,19250,713,19249,590,320629,520
Krys-16,false,0.69,31386,999,31385,999,480496,526
Krys-17,true,1.00,17004,749,17002,518,281625,513
Krys-18,true,1.00,17997,682,17995,547,272326,499
Krys-19,true,1.00,12181,486,12180,375,191097,481
Krys-20,true,1.00,18597,758,18595,575,306221,520
Krys-21,true,1.00,16107,740,16104,491,271345,502
Krys-22,true,1.00,13156,570,13155,399,206388,504
Krys-23,false,0.80,18216,555,18216,555,280814,399
Krys-24,false,0.70,31153,999,31152,999,495988,344
Krys-25,false,0.18,30824,999,30824,999,429898,361
Krys-26,true,1.00,7321,477,7318,228,110051,431
Krys-27,true,1.00,9235,546,9232,281,143396,439
Krys-28,true,1.00,22472,892,22470,685,341826,441
Krys-29,true,1.00,12816,655,12813,389,207959,462
Krys-30,true,1.00,16234,777,16230,492,258956,463
Krys-31,false,0.80,13542,415,13542,415,209256,465
Krys-32,true,1.00,13226,677,13224,401,213934,500
Krys-33,false,0.49,31463,999,31463,999,501393,465
Krys-34,true,1.00,19437,927,19434,594,308926,476
Krys-35,true,1.00,16544,627,16541,504,270250,531
Krys-36,false,0.91,30573,999,30573,999,498304,465
Krys-37,false,0.70,13840,450,13840,450,223892,503
Krys-38,true,1.00,10214,674,10211,313,175912,363
Krys-39,true,1.00,17644,724,17642,550,290764,455
Krys-40,false,0.49,31417,999,31417,999,513295,817
Krys-41,false,0.70,31108,999,31108,999,447432,381
Krys-42,true,1.00,13000,692,12998,413,220624,531
Krys-43,true,1.00,13137,486,13136,399,207666,464
Krys-44,true,1.00,11503,718,11499,349,194641,467
Krys-45,true,1.00,16421,614,16420,518,247433,457
Krys-46,true,1.00,12057,774,12054,369,192026,518
Krys-47,true,1.00,21584,730,21583,655,346657,476
Krys-48,true,1.00,14273,577,14272,445,237150,569
Krys-49,true,1.00,21291,769,21290,664,333370,476
Krys-50,false,0.70,30436,999,30434,999,501723,501
Krys-51,true,1.00,7888,565,7884,239,126944,475
Krys-52,true,1.00,17094,707,17091,518,260243,444
Krys-53,true,1.00,8711,586,8708,265,128918,465
Krys-54,true,1.00,13787,705,13784,432,212326,457
Krys-55,true,1.00,15670,707,15668,476,249637,490
Krys-56,true,1.00,13407,595,13406,408,208901,474
Krys-57,true,1.00,7369,459,7366,224,110359,476
Krys-58,true,1.00,9279,602,9275,296,137604,468
Krys-59,false,0.89,31170,999,31169,999,472246,535
Krys-60,true,1.00,13640,532,13636,416,174309,532
Krys-61,true,1.00,11325,509,11323,344,181155,474
Krys-62,true,1.00,17656,596,17656,538,268502,467
Krys-63,true,1.00,18476,824,18474,571,289580,463
Krys-64,false,0.70,19041,581,19041,581,305942,380
Krys-65,true,1.00,8548,617,8544,261,130195,447
Krys-66,true,1.00,16189,603,16188,492,234620,403
Krys-67,true,1.00,13914,594,13912,423,217466,486
Krys-68,true,1.00,6135,527,6132,188,99654,498
Krys-69,true,1.00,20290,762,20288,615,328496,497
Krys-70,false,0.80,30632,999,30629,999,494990,525
Krys-71,false,0.61,31089,999,31087,999,507149,586
Krys-72,true,1.00,15444,703,15441,490,244930,497
Krys-73,false,0.80,31183,999,31183,999,494903,502
Krys-74,true,1.00,10176,536,10174,317,157749,480
Krys-75,true,1.00,11542,665,11539,350,181887,530
Krys-76,true,1.00,7981,560,7978,242,131219,502
Krys-77,true,1.00,17797,669,17795,546,298551,527
Krys-78,true,1.00,7498,553,7494,229,123267,526
Krys-79,true,1.00,15609,726,15604,465,172071,430
Krys-80,true,1.00,22110,760,22110,670,355994,491
Krys-81,false,0.40,6509,225,6508,225,102185,471
Krys-82,false,0.70,31478,999,31478,999,480999,443
Krys-83,false,0.91,29836,999,29836,999,475423,497
Krys-84,true,1.00,14978,677,14975,458,240998,515
Krys-85,true,1.00,18744,776,18742,575,300306,415
Krys-86,true,1.00,7905,582,7901,240,126082,425
Krys-87,true,1.00,9139,477,9137,279,133425,476
Krys-88,true,1.00,13140,556,13139,409,207566,490
Krys-89,true,1.00,13966,536,13965,443,221255,496
Krys-90,true,1.00,6916,495,6914,210,118127,323
Krys-91,true,1.00,15681,611,15680,482,237658,476
Krys-92,false,0.91,31033,999,31033,999,480519,460
Krys-93,true,1.00,20097,847,20095,610,312771,478
Krys-94,true,1.00,22311,757,22311,682,368271,373
Krys-95,true,1.00,8217,514,8214,249,131778,444
Krys-96,true,1.00,9892,600,9889,303,164941,550
Krys-97,true,1.00,15723,634,15720,493,245919,458
Krys-98,true,1.00,18117,829,18114,557,254773,505
Krys-99,true,1.00,19578,690,19577,599,305486,439
Krys-100,true,1.00,15843,566,15843,491,265676,420
