SCOUNT:6
TTW:0.4
CW:1.05
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Mario-1,true,1.00,13922,527,13921,422,230059,403
Mario-2,true,1.00,7223,420,7221,219,121050,480
Mario-3,true,1.00,13471,526,13470,410,222229,514
Mario-4,true,1.00,17517,774,17515,531,277596,476
Mario-5,true,1.00,16158,721,16156,490,257225,512
Mario-6,true,1.00,10262,382,10261,311,171579,512
Mario-7,true,1.00,11447,656,11443,347,197190,540
Mario-8,true,1.00,12,362,9,1,154,10
Mario-9,true,1.00,14091,539,14090,429,243246,444
Mario-10,true,1.00,11259,455,11258,344,185828,534
Mario-11,true,1.00,16308,596,16307,497,273680,554
Mario-12,true,1.00,23823,939,23821,732,339054,526
Mario-13,true,1.00,14253,513,14252,435,244598,495
Mario-14,true,1.00,10087,501,10086,306,165112,526
Mario-15,true,1.00,30656,1057,30654,933,512869,508
