SCOUNT:6
TTW:1.6
CW:0.85
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
patternCount-1,true,1.00,18442,773,18438,623,319732,538
patternCount-2,true,1.00,5542,579,5539,172,94293,200
patternCount-3,true,1.00,16804,580,16804,554,278633,453
patternCount-4,true,1.00,8714,561,8711,268,142462,444
patternCount-5,true,1.00,12608,593,12606,398,204596,405
patternCount-6,true,1.00,10824,606,10822,332,179241,506
patternCount-7,true,1.00,2039,504,2034,68,33676,336
patternCount-8,true,1.00,4547,599,4543,149,75270,341
patternCount-9,true,1.00,10637,571,10635,354,178399,520
patternCount-10,true,1.00,9774,532,9768,296,102278,426
patternCount-11,true,1.00,14697,593,14696,475,241180,493
patternCount-12,true,1.00,5729,418,5726,187,95444,475
patternCount-13,true,1.00,2182,543,2177,69,36115,130
patternCount-14,true,1.00,7763,410,7762,247,127275,521
patternCount-15,true,1.00,10424,598,10422,316,171308,495
patternCount-16,true,1.00,7158,586,7154,231,115047,460
patternCount-17,true,1.00,8913,621,8909,270,146385,399
patternCount-18,true,1.00,8006,495,8004,249,132675,381
patternCount-19,true,1.00,5916,424,5914,194,94591,515
patternCount-20,true,1.00,12277,612,12276,380,205779,477
patternCount-21,true,1.00,4803,447,4800,146,78929,461
patternCount-22,true,1.00,17167,658,17166,538,290141,502
patternCount-23,true,1.00,18536,766,18535,708,319572,470
patternCount-24,true,1.00,14582,657,14580,454,247718,473
patternCount-25,true,1.00,6271,545,6268,192,102697,440
patternCount-26,true,1.00,4176,483,4172,138,67008,407
patternCount-27,true,1.00,9501,616,9498,292,157023,561
patternCount-28,true,1.00,7094,552,7092,229,112775,454
patternCount-29,true,1.00,11664,553,11662,378,188515,506
patternCount-30,true,1.00,9341,719,9337,283,158237,431
patternCount-31,true,1.00,7851,555,7848,241,128019,387
patternCount-32,true,1.00,134,602,128,4,2132,143
patternCount-33,true,1.00,8680,578,8677,287,141578,243
patternCount-34,true,1.00,5840,552,5836,193,93432,453
patternCount-35,true,1.00,9143,553,9140,289,150399,517
patternCount-36,true,1.00,163,562,157,5,2543,80
patternCount-37,true,1.00,27,524,22,1,364,34
patternCount-38,true,1.00,8781,662,8777,303,143559,311
patternCount-39,true,1.00,3094,542,3090,94,48440,468
patternCount-40,true,1.00,17216,747,17213,581,287954,546
patternCount-41,true,1.00,17846,746,17844,544,296896,503
patternCount-42,true,1.00,7329,643,7325,225,118534,396
patternCount-43,true,1.00,10294,533,10293,316,172862,443
patternCount-44,true,1.00,4708,511,4704,143,80962,354
patternCount-45,true,1.00,3595,492,3591,119,58746,282
patternCount-46,true,1.00,3861,440,3858,128,61501,446
patternCount-47,true,1.00,15000,704,14998,454,191865,496
patternCount-48,true,1.00,9109,588,9106,276,146439,447
patternCount-49,true,1.00,2347,552,2342,74,38897,197
patternCount-50,true,1.00,9870,692,9866,306,166995,397
patternCount-51,true,1.00,70,495,65,2,1053,324
patternCount-52,true,1.00,123,524,118,4,1943,168
patternCount-53,true,1.00,8483,533,8481,276,136386,474
patternCount-54,true,1.00,14365,570,14364,438,238750,502
patternCount-55,true,1.00,16779,698,16777,586,284283,516
patternCount-56,true,1.00,3267,483,3263,105,54287,302
patternCount-57,true,1.00,7902,582,7899,257,124210,421
patternCount-58,true,1.00,10066,636,10062,305,167282,441
patternCount-59,true,1.00,6437,493,6434,201,105576,499
patternCount-60,true,1.00,10363,528,10361,335,173695,401
patternCount-61,true,1.00,894,525,890,27,14726,202
patternCount-62,true,1.00,9992,595,9990,317,166557,410
patternCount-63,true,1.00,14187,630,14185,434,237243,487
patternCount-64,true,1.00,8434,619,8431,259,135574,475
patternCount-65,true,1.00,7110,465,7107,221,115478,311
patternCount-66,true,1.00,11262,560,11261,359,188787,526
patternCount-67,true,1.00,14092,468,14092,440,235732,439
patternCount-68,true,1.00,1488,476,1483,45,24474,310
patternCount-69,true,1.00,9764,585,9762,304,164677,490
patternCount-70,true,1.00,16954,764,16952,522,292632,508
patternCount-71,true,1.00,2829,497,2825,93,47127,389
patternCount-72,true,1.00,24192,813,24192,764,406683,477
patternCount-73,true,1.00,3073,543,3068,93,49274,488
patternCount-74,true,1.00,17670,725,17669,643,298046,469
patternCount-75,true,1.00,1390,563,1385,42,22288,205
patternCount-76,true,1.00,8053,500,8051,247,132534,517
patternCount-77,true,1.00,4423,508,4420,140,71732,368
patternCount-78,true,1.00,11247,594,11245,343,181914,384
patternCount-79,true,1.00,16188,667,16187,493,268465,451
patternCount-80,true,1.00,7354,583,7349,223,119486,412
patternCount-81,true,1.00,9552,539,9544,302,123922,524
patternCount-82,true,1.00,12682,571,12680,386,200473,534
patternCount-83,true,1.00,25,543,19,1,327,9
patternCount-84,true,1.00,4555,539,4551,139,73934,444
patternCount-85,true,1.00,7053,704,7049,229,115726,474
patternCount-86,true,1.00,8046,532,8043,259,132072,460
patternCount-87,true,1.00,15547,585,15546,477,258114,435
patternCount-88,true,1.00,9014,540,9012,291,147147,475
patternCount-89,true,1.00,4591,631,4586,139,75084,368
patternCount-90,true,1.00,9141,493,9140,283,153349,474
patternCount-91,true,1.00,17263,683,17262,559,284759,499
patternCount-92,true,1.00,7853,547,7850,242,123783,423
patternCount-93,true,1.00,17170,649,17170,591,278180,528
patternCount-94,true,1.00,11401,611,11399,349,191795,467
patternCount-95,true,1.00,6713,542,6710,214,109509,425
patternCount-96,true,1.00,23,508,18,1,304,17
patternCount-97,true,1.00,10341,555,10338,320,167324,504
patternCount-98,true,1.00,10365,630,10362,333,174680,528
patternCount-99,true,1.00,5971,578,5967,184,98569,326
patternCount-100,true,1.00,8540,553,8537,262,138489,397
