SCOUNT:3
TTW:1.0
CW:1.25
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,true,1.00,13008,586,13007,403,476090,1035
Krys-2,true,1.00,12389,458,12387,376,429711,1151
Krys-3,true,1.00,14611,520,14611,448,546007,1216
Krys-4,true,1.00,14943,546,14942,459,518083,1122
Krys-5,true,1.00,11492,415,11491,349,421888,1002
Krys-6,false,0.39,32013,999,32013,999,1141682,1807
Krys-7,true,1.00,10177,438,10175,310,366233,1196
Krys-8,false,0.91,15231,466,15231,466,537071,1013
Krys-9,true,1.00,13351,508,13350,405,506442,1054
Krys-10,true,1.00,12603,429,12602,382,464324,1250
Krys-11,true,1.00,16015,559,16014,486,574071,1090
Krys-12,true,1.00,14863,592,14861,451,534875,1159
Krys-13,true,1.00,9934,445,9932,301,329272,893
Krys-14,false,0.79,32146,999,32144,999,1152830,1009
Krys-15,true,1.00,13240,465,13239,402,486073,1197
Krys-16,false,0.39,32265,999,32261,999,1049218,897
Krys-17,true,1.00,12598,526,12596,385,467132,1211
Krys-18,true,1.00,11284,458,11282,353,383145,1019
Krys-19,true,1.00,17036,584,17035,517,607171,1109
Krys-20,true,1.00,11619,466,11618,353,411168,1164
Krys-21,true,1.00,14160,481,14159,430,541620,1214
Krys-22,true,1.00,15719,561,15717,477,573151,1069
Krys-23,false,0.80,11122,338,11122,338,386587,1057
Krys-24,false,0.30,3697,120,3697,120,131046,1035
Krys-25,true,1.00,15204,602,15202,461,573009,1233
Krys-26,true,1.00,7237,330,7236,220,261806,1148
Krys-27,true,1.00,9859,469,9856,299,361079,1227
Krys-28,true,1.00,10704,401,10703,328,381823,1151
Krys-29,true,1.00,11784,527,11781,365,416119,1068
Krys-30,true,1.00,10767,493,10766,326,385955,1068
Krys-31,true,1.00,12024,456,12023,368,426362,991
Krys-32,true,1.00,14727,515,14726,447,532885,1233
Krys-33,false,0.49,32115,999,32115,999,1185249,921
Krys-34,true,1.00,16960,603,16959,522,611212,1233
Krys-35,true,1.00,14139,514,14138,429,527302,1081
Krys-36,false,0.36,4818,149,4818,149,162967,206
Krys-37,false,0.24,2245,77,2245,77,83973,1112
Krys-38,true,1.00,11351,492,11350,344,442644,1151
Krys-39,true,1.00,15895,551,15895,482,601046,1232
Krys-40,false,0.49,32047,999,32047,999,1118814,1808
Krys-41,true,1.00,11362,407,11361,345,409454,1263
Krys-42,true,1.00,8998,404,8996,273,333292,1149
Krys-43,true,1.00,10542,426,10541,320,379572,1179
Krys-44,true,1.00,11120,536,11118,338,409166,1098
Krys-45,false,0.39,32116,999,32115,999,1157467,817
Krys-46,true,1.00,17268,566,17267,527,623517,1054
Krys-47,true,1.00,18190,612,18189,555,671302,1153
Krys-48,true,1.00,10601,402,10600,322,393316,1081
Krys-49,true,1.00,15650,583,15649,478,542727,1119
Krys-50,true,1.00,15719,541,15718,477,577054,1174
Krys-51,true,1.00,13896,442,13896,421,503073,1171
Krys-52,true,1.00,12008,444,12007,364,417574,1050
Krys-53,true,1.00,7658,422,7656,233,264974,1019
Krys-54,true,1.00,14167,492,14166,433,506421,1128
Krys-55,true,1.00,17741,672,17738,540,658486,1195
Krys-56,false,0.36,5214,162,5214,162,181828,1195
Krys-57,true,1.00,6895,367,6894,213,244826,886
Krys-58,true,1.00,14202,515,14202,440,503454,1195
Krys-59,false,0.89,31994,999,31994,999,1155667,835
Krys-60,true,1.00,18276,641,18275,554,564697,1170
Krys-61,true,1.00,11137,473,11136,338,407900,1211
Krys-62,true,1.00,15685,535,15684,477,550816,1079
Krys-63,false,0.39,32124,999,32124,999,1168402,1182
Krys-64,false,0.70,15180,465,15180,465,565764,1132
Krys-65,true,1.00,10326,497,10325,315,362222,1032
Krys-66,true,1.00,13540,471,13540,411,469541,1123
Krys-67,true,1.00,12486,482,12486,380,443596,1233
Krys-68,true,1.00,8417,393,8415,255,316869,1189
Krys-69,true,1.00,11407,511,11406,346,411166,1106
Krys-70,true,1.00,13910,534,13909,422,519199,1173
Krys-71,true,1.00,12225,470,12225,371,460361,1058
Krys-72,true,1.00,11449,440,11448,348,396269,1075
Krys-73,false,0.39,32116,999,32115,999,1180966,1120
Krys-74,true,1.00,10392,417,10390,315,362713,1023
Krys-75,true,1.00,9042,520,9039,274,315982,963
Krys-76,true,1.00,15656,564,15655,479,582754,1162
Krys-77,true,1.00,13093,512,13092,398,498366,1021
Krys-78,true,1.00,12309,475,12308,373,452403,1106
Krys-79,true,1.00,13101,494,13101,398,460209,999
Krys-80,true,1.00,15948,553,15948,485,560844,1233
Krys-81,true,1.00,11660,447,11659,354,310015,1085
Krys-82,false,0.70,32087,999,32086,999,1166844,1026
Krys-83,true,1.00,11685,434,11684,356,351443,1197
Krys-84,true,1.00,11473,477,11471,348,411487,1174
Krys-85,true,1.00,14439,543,14438,444,513806,983
Krys-86,true,1.00,6999,405,6997,213,239455,1086
Krys-87,true,1.00,10311,372,10310,313,360196,1019
Krys-88,true,1.00,14676,592,14673,445,529850,1157
Krys-89,true,1.00,11460,447,11459,349,403852,1122
Krys-90,true,1.00,11091,363,11091,340,376191,1094
Krys-91,false,0.49,32116,999,32116,999,1173792,897
Krys-92,true,1.00,13333,491,13331,405,464840,1149
Krys-93,true,1.00,14600,501,14599,443,492686,919
Krys-94,true,1.00,14293,491,14292,434,526491,1109
Krys-95,true,1.00,9947,435,9946,304,351888,1035
Krys-96,true,1.00,8507,363,8506,258,317733,1250
Krys-97,true,1.00,11064,416,11062,337,392577,1109
Krys-98,false,0.70,14066,431,14066,431,497539,1023
Krys-99,true,1.00,12804,470,12802,393,435816,964
Krys-100,true,1.00,12214,419,12214,371,456434,1171
