SCOUNT:3
TTW:1.1
CW:1.2
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,true,1.00,13321,526,13320,418,458139,1205
Krys-2,false,0.79,32086,999,32085,999,1068231,807
Krys-3,false,0.70,31367,999,31367,999,1114775,1086
Krys-4,true,1.00,10621,440,10620,329,370432,1134
Krys-5,true,1.00,21,357,17,1,549,74
Krys-6,true,1.00,5835,369,5833,177,188468,1136
Krys-7,true,1.00,18,395,14,1,435,77
Krys-8,true,1.00,6141,409,6138,186,217088,859
Krys-9,true,1.00,16,364,13,1,421,50
Krys-10,true,1.00,10424,411,10422,318,347688,1124
Krys-11,true,1.00,23,404,18,1,489,113
Krys-12,true,1.00,9209,446,9207,280,291823,951
Krys-13,true,1.00,23,440,18,1,573,62
Krys-14,false,0.79,31987,999,31987,999,1064028,591
Krys-15,true,1.00,9076,411,9075,275,324025,887
Krys-16,false,0.69,31954,999,31953,999,1065217,890
Krys-17,true,1.00,9601,469,9599,294,339267,924
Krys-18,true,1.00,54,390,50,2,1559,807
Krys-19,true,1.00,5842,394,5840,177,185527,820
Krys-20,true,1.00,10430,497,10428,316,357506,912
Krys-21,true,1.00,18,378,14,1,471,85
Krys-22,true,1.00,19,368,16,1,503,120
Krys-23,true,1.00,1537,429,1533,47,47368,102
Krys-24,true,1.00,9604,483,9602,293,318067,1062
Krys-25,true,1.00,1752,420,1748,53,60941,865
Krys-26,true,1.00,18,359,14,1,502,242
Krys-27,true,1.00,6302,398,6300,191,187414,956
Krys-28,true,1.00,7626,371,7625,235,258025,718
Krys-29,true,1.00,5603,442,5600,170,207427,1025
Krys-30,true,1.00,9696,459,9695,295,299219,1126
Krys-31,true,1.00,166,396,162,5,4348,374
Krys-32,true,1.00,20,427,16,1,499,77
Krys-33,true,1.00,21,402,17,1,455,81
Krys-34,true,1.00,8810,456,8808,269,313363,626
Krys-35,true,1.00,4263,395,4256,129,92388,463
Krys-36,true,1.00,11744,436,11743,357,357293,951
Krys-37,true,1.00,3881,454,3878,122,145729,998
Krys-38,true,1.00,3665,418,3663,111,140640,791
Krys-39,true,1.00,10794,405,10791,327,377058,1056
Krys-40,true,1.00,9705,413,9704,294,340625,820
Krys-41,true,1.00,8845,416,8844,268,309545,951
Krys-42,true,1.00,19,366,15,1,528,76
Krys-43,true,1.00,19,353,15,1,482,155
Krys-44,true,1.00,8085,428,8084,250,309749,654
Krys-45,true,1.00,4612,428,4608,142,131766,613
Krys-46,true,1.00,7450,436,7448,228,257171,956
Krys-47,true,1.00,423,444,419,13,13418,361
Krys-48,true,1.00,22,374,18,1,596,150
Krys-49,true,1.00,293,427,288,9,8519,274
Krys-50,false,0.70,32063,999,32062,999,1127124,1055
Krys-51,true,1.00,11085,411,11084,336,366858,895
Krys-52,true,1.00,7162,393,7159,217,224606,917
Krys-53,true,1.00,11248,501,11245,347,388160,775
Krys-54,true,1.00,10936,472,10935,342,389507,1095
Krys-55,true,1.00,10772,446,10771,328,381858,989
Krys-56,false,0.59,31961,999,31960,999,1071749,271
Krys-57,true,1.00,23,356,20,1,636,138
Krys-58,true,1.00,8051,441,8049,245,291284,1127
Krys-59,false,0.89,31792,999,31791,999,1052422,967
Krys-60,true,1.00,11679,432,11678,354,405921,1056
Krys-61,true,1.00,8607,430,8605,262,284017,944
Krys-62,true,1.00,8956,413,8954,278,253072,834
Krys-63,true,1.00,13533,575,13531,424,457156,883
Krys-64,true,1.00,2534,443,2530,77,94214,1142
Krys-65,true,1.00,9524,448,9523,294,305339,1092
Krys-66,true,1.00,10552,420,10551,320,320921,984
Krys-67,true,1.00,2576,424,2573,78,83349,511
Krys-68,true,1.00,22,378,18,1,641,181
Krys-69,true,1.00,11808,472,11805,365,343737,805
Krys-70,true,1.00,12968,525,12967,393,396997,1030
Krys-71,true,1.00,24,413,21,1,701,256
Krys-72,true,1.00,37,431,32,1,930,261
Krys-73,true,1.00,11298,473,11297,347,365381,1088
Krys-74,true,1.00,33,413,29,1,807,350
Krys-75,true,1.00,222,392,218,7,5896,141
Krys-76,true,1.00,5215,399,5213,158,161187,1078
Krys-77,true,1.00,20,401,16,1,493,82
Krys-78,false,0.91,32010,999,32009,999,1168864,877
Krys-79,true,1.00,9614,366,9611,292,280570,166
Krys-80,true,1.00,36,454,31,1,917,319
Krys-81,true,1.00,27,386,23,1,798,108
Krys-82,true,1.00,4738,410,4736,144,140061,219
Krys-83,true,1.00,12112,441,12111,367,389191,1105
Krys-84,true,1.00,15,380,11,1,331,76
Krys-85,true,1.00,8131,416,8129,253,280894,976
Krys-86,true,1.00,8242,461,8240,252,307169,747
Krys-87,true,1.00,22,392,18,1,497,166
Krys-88,true,1.00,8606,419,8604,261,298104,833
Krys-89,true,1.00,2202,367,2198,67,61484,690
Krys-90,true,1.00,98,364,95,3,3580,422
Krys-91,true,1.00,23,404,19,1,526,111
Krys-92,true,1.00,11623,447,11622,360,367890,982
Krys-93,true,1.00,7358,365,7356,223,247243,914
Krys-94,true,1.00,22,380,19,1,610,177
Krys-95,true,1.00,1674,357,1671,51,58877,1080
Krys-96,true,1.00,19,404,15,1,527,54
Krys-97,true,1.00,8160,380,8159,251,304978,1095
Krys-98,true,1.00,14091,519,14090,437,452959,983
Krys-99,true,1.00,6530,403,6528,198,191360,548
Krys-100,true,1.00,14,371,10,1,377,41
