SCOUNT:3
TTW:2.0
CW:1.2
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Mario-1,true,1.00,11022,429,11021,334,409328,1030
Mario-2,true,1.00,12511,408,12510,380,448336,1015
Mario-3,true,1.00,8209,337,8208,252,318717,1185
Mario-4,true,1.00,13710,477,13709,416,472853,1039
Mario-5,true,1.00,12802,503,12801,388,447563,1145
Mario-6,true,1.00,8874,292,8874,269,338748,1181
Mario-7,true,1.00,12741,534,12740,386,490614,1130
Mario-8,true,1.00,20,350,16,1,613,51
Mario-9,true,1.00,11488,442,11487,351,420268,1077
Mario-10,true,1.00,6729,275,6729,206,256203,1083
Mario-11,true,1.00,11530,425,11530,350,422431,1058
Mario-12,true,1.00,17621,696,17619,536,646383,1189
Mario-13,true,1.00,8224,316,8224,250,324682,1235
Mario-14,true,1.00,14717,497,14717,446,539858,1050
Mario-15,true,1.00,24827,894,24826,754,897038,1052
