SCOUNT:3
TTW:0.2
CW:0.85
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
patternCount-1,false,0.94,10214,328,10213,328,347869,1060
patternCount-2,true,1.00,9105,312,9105,280,289774,773
patternCount-3,true,1.00,9970,346,9970,304,310074,767
patternCount-4,true,1.00,10191,332,10190,309,240366,853
patternCount-5,true,1.00,9517,324,9516,289,294788,742
patternCount-6,true,1.00,8807,308,8807,270,271239,731
patternCount-7,true,1.00,9833,330,9832,298,313527,744
patternCount-8,true,1.00,9322,333,9322,284,301663,977
patternCount-9,true,1.00,9207,314,9206,282,296875,740
patternCount-10,true,1.00,9141,316,9140,278,285620,684
patternCount-11,true,1.00,10660,379,10660,323,346109,876
patternCount-12,true,1.00,9525,330,9525,295,300779,822
patternCount-13,true,1.00,8261,314,8260,282,262168,788
patternCount-14,true,1.00,9741,327,9740,295,309016,869
patternCount-15,true,1.00,10297,348,10296,316,328271,920
patternCount-16,true,1.00,9501,321,9500,289,300903,854
patternCount-17,true,1.00,9957,338,9957,303,309165,745
patternCount-18,true,1.00,9209,318,9208,286,291676,831
patternCount-19,true,1.00,9172,310,9171,278,289412,826
patternCount-20,true,1.00,9142,312,9141,277,285478,815
patternCount-21,true,1.00,9368,316,9367,284,294666,776
patternCount-22,true,1.00,10367,348,10367,316,342201,958
patternCount-23,true,1.00,9888,351,9887,302,335189,1152
patternCount-24,true,1.00,10212,360,10212,314,351467,883
patternCount-25,true,1.00,9373,327,9373,295,296364,758
patternCount-26,true,1.00,8548,300,8547,268,272115,729
patternCount-27,true,1.00,10396,354,10395,316,333084,1014
patternCount-28,true,1.00,9636,326,9636,292,305277,813
patternCount-29,true,1.00,9544,335,9542,300,303887,959
patternCount-30,true,1.00,9234,316,9234,281,290497,730
patternCount-31,true,1.00,8200,326,8199,292,264367,817
patternCount-32,true,1.00,8814,306,8813,274,282874,684
patternCount-33,true,1.00,9274,344,9274,297,305796,719
patternCount-34,true,1.00,8410,317,8409,281,273044,724
patternCount-35,true,1.00,9894,332,9893,300,312134,808
patternCount-36,true,1.00,8253,314,8252,250,265590,746
patternCount-37,true,1.00,8457,308,8457,273,195273,697
patternCount-38,true,1.00,9074,322,9074,284,294808,865
patternCount-39,true,1.00,9470,321,9470,289,301471,1037
patternCount-40,true,1.00,9926,352,9926,308,320629,884
patternCount-41,true,1.00,8944,320,8944,273,288393,756
