SCOUNT:3
TTW:0.6
CW:1.25
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
patternCount-1,false,0.98,12112,395,12112,395,457665,1174
patternCount-2,true,1.00,10485,504,10483,319,393050,1154
patternCount-3,true,1.00,12609,433,12608,396,458813,1063
patternCount-4,true,1.00,10886,398,10886,335,396526,1086
patternCount-5,true,1.00,15715,502,15714,480,585483,1136
patternCount-6,true,1.00,13379,452,13379,403,343093,918
patternCount-7,true,1.00,8606,425,8604,261,316994,1039
patternCount-8,true,1.00,10990,405,10990,334,405042,1186
patternCount-9,true,1.00,9836,409,9835,302,365011,1066
patternCount-10,true,1.00,11460,405,11460,348,423955,1200
patternCount-11,true,1.00,13439,469,13439,409,481547,1148
patternCount-12,true,1.00,13498,461,13497,411,495112,1080
patternCount-13,true,1.00,11588,382,11588,354,420552,1129
patternCount-14,true,1.00,12742,404,12742,388,453996,1069
patternCount-15,true,1.00,13352,488,13351,405,490639,1133
patternCount-16,true,1.00,7154,390,7153,219,260289,1035
patternCount-17,true,1.00,12551,434,12549,381,462572,1099
patternCount-18,true,1.00,7713,387,7711,236,283049,1051
patternCount-19,true,1.00,5875,368,5873,180,205073,1098
patternCount-20,true,1.00,12970,466,12968,394,476929,1124
patternCount-21,true,1.00,7847,427,7845,238,283294,1040
patternCount-22,true,1.00,14409,504,14409,437,533554,1165
patternCount-23,true,1.00,11848,398,11848,363,441842,1121
patternCount-24,true,1.00,14037,475,14037,427,527960,1177
patternCount-25,true,1.00,11952,403,11952,364,435736,1074
patternCount-26,true,1.00,5241,348,5239,160,187453,958
patternCount-27,true,1.00,12256,414,12256,376,453994,1144
patternCount-28,true,1.00,9305,420,9304,282,345122,954
patternCount-29,true,1.00,14634,528,14633,444,532339,1107
patternCount-30,true,1.00,11741,427,11740,356,429285,1170
patternCount-31,true,1.00,5050,398,5048,153,180800,1058
patternCount-32,true,1.00,12150,427,12149,370,437557,1099
patternCount-33,true,1.00,10529,427,10527,324,373210,821
patternCount-34,true,1.00,8657,367,8649,264,194858,894
patternCount-35,true,1.00,12296,404,12295,375,426137,1146
patternCount-36,true,1.00,6498,388,6496,198,241366,915
patternCount-37,true,1.00,3763,367,3761,117,138036,1087
patternCount-38,true,1.00,11881,440,11880,366,429315,1071
patternCount-39,true,1.00,12937,443,12937,396,472772,1114
patternCount-40,true,1.00,11586,420,11584,356,424906,1123
patternCount-41,true,1.00,10991,516,10989,335,407608,1130
patternCount-42,true,1.00,12481,426,12481,380,466172,1100
patternCount-43,true,1.00,12513,425,12513,382,467836,1118
patternCount-44,true,1.00,11906,445,11905,361,444374,1132
patternCount-45,true,1.00,6669,376,6668,202,241912,939
patternCount-46,true,1.00,11514,413,11513,351,424793,1093
patternCount-47,true,1.00,10182,424,10180,313,369060,1103
patternCount-48,true,1.00,12187,410,12187,372,448374,871
patternCount-49,true,1.00,13107,422,13107,405,463615,986
patternCount-50,true,1.00,10097,506,10095,306,326666,1159
patternCount-51,true,1.00,11886,396,11885,364,440818,883
patternCount-52,true,1.00,9649,383,9648,293,356969,1078
patternCount-53,true,1.00,12870,438,12869,391,457664,1034
patternCount-54,true,1.00,12814,415,12813,389,466967,1123
patternCount-55,true,1.00,10789,466,10787,329,390343,1145
patternCount-56,true,1.00,7947,428,7945,242,287389,1029
patternCount-57,true,1.00,12484,445,12483,380,466635,1056
patternCount-58,true,1.00,7194,420,7191,219,264831,1072
patternCount-59,true,1.00,11587,428,11586,353,416986,1045
patternCount-60,true,1.00,13800,448,13800,419,499154,1121
patternCount-61,true,1.00,12620,454,12618,388,468099,1097
patternCount-62,true,1.00,13935,461,13935,426,408513,893
patternCount-63,true,1.00,12424,472,12423,377,456208,1101
patternCount-64,true,1.00,9918,415,9916,301,363986,979
patternCount-65,true,1.00,11069,404,11068,336,404725,1166
patternCount-66,true,1.00,14653,507,14653,446,547121,1100
patternCount-67,true,1.00,14856,479,14856,451,555099,1213
patternCount-68,true,1.00,6563,430,6560,200,238664,1063
patternCount-69,true,1.00,14483,480,14483,441,539196,1187
patternCount-70,true,1.00,12021,467,12020,365,446571,1137
patternCount-71,true,1.00,10558,392,10557,324,395539,1058
patternCount-72,true,1.00,14431,488,14431,439,524558,1069
patternCount-73,true,1.00,10522,411,10521,320,385368,1143
patternCount-74,true,1.00,12888,445,12888,398,469226,1069
patternCount-75,true,1.00,7615,430,7613,232,279566,1076
patternCount-76,true,1.00,8376,418,8374,255,308830,1143
patternCount-77,true,1.00,8004,436,8002,244,288610,1125
patternCount-78,true,1.00,10775,434,10774,327,397730,903
patternCount-79,true,1.00,13337,437,13337,405,500380,1148
patternCount-80,true,1.00,7654,430,7653,235,280020,1116
patternCount-81,true,1.00,11252,396,11251,341,414465,1091
patternCount-82,true,1.00,10214,399,10213,311,356346,1002
patternCount-83,true,1.00,10507,387,10506,322,389009,1065
patternCount-84,true,1.00,12583,416,12583,382,456101,1073
patternCount-85,true,1.00,6419,395,6417,195,232352,1071
patternCount-86,true,1.00,6626,368,6624,202,236462,1139
patternCount-87,true,1.00,11826,459,11825,361,435769,1040
patternCount-88,true,1.00,11949,446,11948,364,439260,1059
patternCount-89,true,1.00,12147,393,12146,369,452470,1135
patternCount-90,true,1.00,10077,395,10077,308,253115,1061
patternCount-91,true,1.00,11898,451,11897,363,432447,1193
patternCount-92,true,1.00,11090,429,11087,337,408529,975
patternCount-93,true,1.00,11248,440,11247,343,408847,1168
patternCount-94,true,1.00,12434,454,12434,378,462591,1110
patternCount-95,true,1.00,7488,453,7486,228,276383,1130
patternCount-96,true,1.00,3206,346,3203,98,117326,425
patternCount-97,true,1.00,7258,410,7257,220,259108,1086
patternCount-98,true,1.00,18719,603,18718,568,701987,1169
patternCount-99,true,1.00,13069,444,13068,397,484777,1111
patternCount-100,true,1.00,13911,457,13911,423,508023,1125
